Tower Name,Elevation,Latitude,Longitude
1 WTG12 F12 33 KV Pole,164.1,23.2296972310,69.2791972900
1 PS F6 33 KV Pole,158.2,23.2352572690,69.2581362310
2 PS F6 33 KV Pole,156.7,23.2353366270,69.2579036480
3 PS F6 33 KV Pole,152.9,23.2354825870,69.2574258690
1 WTG-6 F6 33 KV Pole,149.9,23.2361008470,69.2566916290
1 WTG-10 F6 33 KV Pole,174.5,23.2429109630,69.2514019960
2 WTG-10 F6 33 KV Pole,183.6,23.2419304060,69.2507153140
3 WTG-10 F6 33 KV Pole,194.1,23.2406001260,69.2497550420
4 WTG-10 F6 33 KV Pole,193.8,23.2410327320,69.2500487720
1 WTG-5 F6 33 KV Pole,193.8,23.2396146340,69.2483215540
2 WTG-5 F6 33 KV Pole,193.6,23.2393717550,69.2477559750
3 WTG-5 F6 33 KV Pole,192.9,23.2391183210,69.2471819940
4 WTG-5 F6 33 KV Pole,193.6,23.2391574610,69.2467943990
WTG-12 F12,183.8,23.2256987520,69.3090504770
WTG-1 F6,208.2,23.2726967050,69.2718048220
WTG-2 F6,188.3,23.2811294470,69.2378089630
WTG-3 F6,177.6,23.2698515150,69.2310620250
WTG-4 F6,193.8,23.2642791260,69.2671474480
WTG-5 F6,195.2,23.2433085590,69.2404977480
WTG-6 F6,169.5,23.2398110310,69.2617953040
WTG-7 F6,156,23.2325996840,69.2547566390
1 220 KV Tower,167.2,23.2225130350,69.4249473080
2 220 KV Tower,165.9,23.2234561720,69.4221482660
3 220 KV Tower,194.2,23.2319960950,69.3339522700
4 220 KV Tower,192.6,23.2315560480,69.3359990590
5 220 KV Tower,191.3,23.2306521990,69.3386917360
6 220 KV Tower,166.6,23.2306484480,69.2781096810
7 220 KV Tower,164.9,23.2305623110,69.2752257990
8 220 KV Tower,155.9,23.2345425090,69.2603552290
1 A WTG-12 F12 33 KV Pole,163.8,23.2284540910,69.2791172280
2 A WTG-12 F12 33 KV Pole,166,23.2293725630,69.2793753100
3 A WTG-12 F12 33 KV Pole,166.6,23.2288988500,69.2792528290
4 A WTG-12 F12 33 KV Pole,167.2,23.2312622900,69.2773406810
1 WTG-1 F6 33 KV Pole,204.8,23.2717156170,69.2701562900
2 WTG-1 F6 33 KV Pole,208.3,23.2721451390,69.2704587120
1 WTG-2 F6 33 KV Pole,188.9,23.2807559070,69.2377586260
1 WTG-3 F6 33 KV Pole,175.9,23.2692325850,69.2304087860
2 WTG-2 F6 33 KV Pole,205.4,23.2712029910,69.2660006050
3 WTG-2 F6 33 KV Pole,207.9,23.2710291340,69.2665039980
4 WTG-2 F6 33 KV Pole,215.4,23.2702710040,69.2684594950
5 WTG-2 F6 33 KV Pole,218.3,23.2704508300,69.2679556350
6 WTG-2 F6 33 KV Pole,214.2,23.2707575380,69.2672274380
1,155.9,23.2345241000,69.2603365000
2,155.7,23.2328234000,69.2627290000
3,152.3,23.2325498000,69.2643759000
4,153.7,23.2322146000,69.2663312000
5,157.4,23.2318425000,69.2689303000
6,158.7,23.2314456000,69.2717734000
7,164.7,23.2305460000,69.2751959000
8,166.7,23.2306520000,69.2780793000
9,165.7,23.2307555000,69.2812309000
10,173.1,23.2308763000,69.2841062000
11,185.7,23.2317168000,69.2858577000
12,192.3,23.2341815000,69.2908841000
13,190.5,23.2353842000,69.2933705000
14,186.2,23.2365007000,69.2956692000
15,184.8,23.2361631000,69.2988315000
16,187.9,23.2358648000,69.3017042000
17,186.8,23.2342727000,69.3040538000
18,188.5,23.2327593000,69.3068165000
19,199.6,23.2312041000,69.3096516000
20,206.6,23.2296242000,69.3125027000
21,197.4,23.2281108000,69.3152547000
